Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
14-March-2023,523.00,528.05,522.25,526.45,525.076730779041885618,19601,1734,10292029.00,8447,43.09,5.80,3.45
13-March-2023,526.05,529.70,520.10,523.40,524.124561083677464866,126163,7455,66125127.00,106559,84.46,9.60,-2.65
10-March-2023,524.10,530.60,524.10,529.95,528.051405446789893907,27429,1579,14483922.00,13918,50.74,6.50,5.85
9-March-2023,528.15,532.95,526.10,526.85,529.545469245197593946,30922,1932,16374605.00,14493,46.87,6.85,-1.30
8-March-2023,535.05,536.85,530.40,531.95,533.626767576180043815,10042,751,5358680.00,3395,33.81,6.45,-3.10
6-March-2023,536.00,538.90,533.05,536.85,535.873487703292344307,40336,1945,21614993.00,18683,46.32,5.85,0.85
3-March-2023,531.00,536.70,529.95,534.85,533.534744408945686900,27544,1832,14695681.00,17089,62.04,6.75,3.85
2-March-2023,527.85,530.90,525.45,530.15,528.052810420501203454,21189,1673,11188911.00,8077,38.12,5.45,2.30
1-March-2023,533.05,536.30,526.05,527.45,530.791824901549239419,142457,3189,75615011.00,97963,68.77,10.25,-5.60
28-February-2023,523.35,534.70,523.35,533.05,530.731865585168018539,12945,933,6870324.00,4281,33.07,11.35,9.70
27-February-2023,530.05,534.35,523.25,526.15,528.527177640603566529,34992,2920,18494223.00,18479,52.81,11.10,-3.90
24-February-2023,540.05,541.30,533.85,534.90,537.204609098838543818,21783,1187,11701928.00,6338,29.10,7.45,-5.15
23-February-2023,531.00,543.00,530.35,539.65,539.378327150632260160,36931,2101,19919781.00,8520,23.07,12.65,8.65
22-February-2023,534.50,534.95,529.55,533.15,532.163686745398165863,15157,873,8066005.00,4380,28.90,5.40,-1.35
21-February-2023,539.90,539.90,532.75,535.05,535.908139778196275371,124254,2107,66588730.00,105002,84.51,7.15,-4.85
20-February-2023,533.05,536.30,529.90,534.75,533.711508211162146857,31786,2052,16964554.00,17240,54.24,6.40,1.70
17-February-2023,530.05,536.90,530.05,535.95,534.735474321260609694,53371,1495,28539367.00,36513,68.41,6.85,5.90
16-February-2023,535.15,538.95,533.00,535.55,537.676124746829975330,208358,3408,112029122.00,172282,82.69,5.95,0.40
15-February-2023,533.90,536.00,524.10,534.95,530.121773264496309254,23437,1134,12424464.00,6495,27.71,11.90,1.05
14-February-2023,538.40,538.40,529.30,529.80,533.341156892764427877,75115,2395,40061921.00,44473,59.21,9.10,-8.60
