Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
14-March-2023,909.00,918.50,905.45,915.45,914.185688240656335460,10970,1082,10028617.00,5353,48.80,13.05,6.45
13-March-2023,910.00,922.00,910.00,916.15,917.391801642741997390,13027,993,11950863.00,3606,27.68,12.00,6.15
10-March-2023,904.45,918.85,895.00,915.30,910.347504759060878653,26791,1754,24389120.00,4950,18.48,23.85,10.85
9-March-2023,914.80,925.45,902.00,904.45,911.276712759270898805,6364,797,5799365.00,1761,27.67,23.45,-10.35
8-March-2023,904.05,925.85,904.05,920.05,919.712940921878381302,9242,1289,8499987.00,2804,30.34,21.80,16.00
6-March-2023,924.30,924.35,906.20,915.55,914.122458533975387907,14952,1678,13667959.00,3870,25.88,18.15,-8.75
3-March-2023,908.15,932.75,908.15,925.90,922.589472525052307014,18162,1834,16756070.00,3863,21.27,24.60,17.75
2-March-2023,908.15,915.05,904.00,912.20,908.732353649722958323,4151,617,3772148.00,1452,34.98,11.05,4.05
1-March-2023,913.05,936.00,908.55,911.60,919.149149010072941993,14395,2077,13231152.00,5070,35.22,27.45,-1.45
28-February-2023,911.05,927.10,911.05,923.55,922.418656108070338884,8587,1091,7920809.00,3035,35.34,16.05,12.50
27-February-2023,918.05,926.40,902.70,915.80,912.412476370510396975,7935,993,7239993.00,1900,23.94,23.70,-2.25
24-February-2023,931.00,944.90,923.05,926.40,934.440300258034248182,8526,944,7967038.00,4177,48.99,21.85,-4.60
23-February-2023,928.05,939.00,917.65,933.95,931.345192467922012997,12002,1204,11178005.00,2709,22.57,21.35,5.90
22-February-2023,920.05,943.75,920.05,929.45,934.067373136900146463,23214,1537,21683440.00,10622,45.76,23.70,9.40
21-February-2023,929.95,948.65,929.05,937.20,938.738519447929736511,15940,1556,14963492.00,5561,34.89,19.60,7.25
20-February-2023,954.90,954.90,923.95,926.45,941.778269361074574514,25089,1758,23628275.00,3735,14.89,30.95,-28.45
17-February-2023,923.05,950.00,923.05,941.90,933.666749781822715372,8021,1011,7488941.00,3381,42.15,26.95,18.85
16-February-2023,922.40,937.20,922.40,932.05,929.979381084032246822,172172,2013,160116410.00,157058,91.22,14.80,9.65
15-February-2023,930.00,937.55,924.55,935.65,931.751179751179751179,4662,679,4343824.00,1738,37.28,13.00,5.65
14-February-2023,925.95,934.95,918.80,930.15,929.463851691307376731,25838,1509,24015487.00,12400,47.99,16.15,4.20
13-February-2023,933.35,941.20,920.25,924.15,928.944002387109608116,10054,880,9339603.00,3073,30.56,20.95,-9.20
10-February-2023,942.95,949.80,937.95,940.25,940.979130009775171065,20460,1356,19252433.00,13966,68.26,11.85,-2.70
9-February-2023,940.65,946.10,937.55,940.95,941.443850267379679144,6171,801,5809650.00,2157,34.95,8.55,0.30
8-February-2023,940.00,946.00,937.30,940.45,941.238989947343226424,8356,788,7864993.00,4106,49.14,8.70,0.45
7-February-2023,930.05,942.00,930.05,939.95,938.524222936763129689,9330,1011,8756431.00,4425,47.43,11.95,9.90
6-February-2023,940.15,943.80,924.40,936.60,934.809615702707173181,18137,1568,16954642.00,9434,52.02,19.40,-3.55
3-February-2023,934.05,949.00,932.00,933.85,938.535803374908290535,27260,2120,25584486.00,11993,43.99,17.00,-0.20
2-February-2023,929.00,948.60,923.60,939.35,938.685856116173964584,13497,2204,12669443.00,4143,30.70,25.00,10.35
1-February-2023,915.05,939.00,899.35,928.05,923.524496288441145281,37720,4681,34835344.00,10683,28.32,39.65,13.00
31-January-2023,897.05,919.20,897.05,912.75,911.014455662242304433,56656,3501,51614435.00,24125,42.58,22.15,15.70
30-January-2023,901.05,912.60,892.10,903.50,901.377188918743630130,10793,1165,9728564.00,4740,43.92,20.50,2.45
27-January-2023,912.05,925.55,896.70,909.20,905.391800020918313983,19122,1916,17312902.00,8561,44.77,28.85,-2.85
25-January-2023,922.95,928.00,913.15,914.90,917.895163806552262090,6410,736,5883708.00,1867,29.13,14.85,-8.05
24-January-2023,923.05,933.50,923.05,928.65,928.415275310834813499,11260,1334,10453956.00,4990,44.32,10.45,5.60
23-January-2023,926.05,935.65,915.30,926.90,925.489397321428571428,16128,1415,14926293.00,7460,46.25,20.35,0.85
20-January-2023,929.25,946.00,928.40,933.00,939.004290252052308073,24241,2300,22762403.00,10380,42.82,17.60,3.75
19-January-2023,921.05,934.35,921.05,928.90,928.965517241379310344,6264,741,5819040.00,2344,37.42,13.30,7.85
18-January-2023,919.05,932.60,919.05,929.05,926.541237785016286644,7675,624,7111204.00,3455,45.02,13.55,10.00
17-January-2023,924.00,935.20,912.00,929.20,928.221428060896290472,13991,1263,12986746.00,3597,25.71,23.20,5.20
16-January-2023,917.20,929.75,917.20,923.60,924.960030452988199467,10508,1157,9719480.00,2548,24.25,12.55,6.40
13-January-2023,919.65,925.00,912.60,917.15,919.915605009944632586,18603,1606,17113190.00,5635,30.29,12.40,-2.50
