Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
14-March-2023,695.00,700.00,690.00,693.50,695.528354861779429812,113261,6314,78776237.00,77240,68.20,10.00,-1.50
13-March-2023,704.55,707.20,691.90,695.35,698.520325237134712521,239948,10377,167608555.00,199415,83.11,15.30,-9.20
10-March-2023,708.00,710.00,701.45,704.50,707.071757528320742454,143093,3836,101177019.00,109601,76.59,8.55,-3.50
9-March-2023,720.10,722.00,706.15,708.90,714.543733755226579274,17698,1506,12645995.00,7033,39.74,15.85,-11.20
8-March-2023,713.00,722.95,711.00,720.35,716.294914508423434749,127264,1617,91158556.00,111498,87.61,11.95,7.35
6-March-2023,715.75,718.80,710.70,713.55,715.774962096599523500,13851,981,9914199.00,6872,49.61,8.10,-2.20
3-March-2023,710.00,713.30,706.55,709.40,708.955021854584762889,42554,4042,30168872.00,23373,54.93,6.75,-0.60
2-March-2023,715.00,718.00,706.00,708.55,711.809416866723456981,12913,1092,9191595.00,6159,47.70,12.00,-6.45
1-March-2023,716.90,717.00,709.80,715.20,713.899186356195176778,40927,1704,29217752.00,25648,62.67,7.20,-1.70
28-February-2023,710.40,717.95,705.75,714.40,711.967395779015835551,36437,3143,25941956.00,13708,37.62,12.20,4.00
27-February-2023,717.05,719.55,700.10,710.35,708.675768253305668438,81451,6332,57722350.00,46496,57.08,19.45,-6.70
24-February-2023,716.20,721.40,713.85,716.20,716.699106996004218307,103359,3498,74077303.00,78644,76.09,7.55,0.00
23-February-2023,720.05,723.70,715.00,716.20,720.496896366914069478,307865,4473,221815777.00,276874,89.93,8.70,-3.85
22-February-2023,726.05,734.05,719.70,722.00,723.791477260249906669,182148,5832,131837170.00,128839,70.73,14.35,-4.05
21-February-2023,720.15,729.90,720.15,726.00,725.995693039857227840,42025,2599,30509969.00,16744,39.84,9.75,5.85
20-February-2023,725.05,727.35,718.75,721.90,721.272156975078773990,34910,3239,25179611.00,13263,37.99,8.60,-3.15
17-February-2023,732.15,734.40,724.05,726.60,729.412764064932177006,22485,1367,16400846.00,12642,56.22,10.35,-5.55
16-February-2023,733.95,735.50,727.95,732.25,731.989541418642545974,60142,3325,44023315.00,37387,62.16,7.55,-1.70
15-February-2023,717.60,730.00,717.45,728.60,723.201021276595744680,11750,1263,8497612.00,5277,44.91,12.55,11.00
14-February-2023,716.55,723.55,715.55,720.60,720.329252766624228772,20422,1281,14710564.00,9246,45.27,8.00,4.05
13-February-2023,727.00,729.15,716.50,717.60,721.014893052854870072,22628,1825,16315125.00,13612,60.16,12.65,-9.40
10-February-2023,722.00,728.00,719.50,726.40,724.580732160226368379,22618,1792,16388567.00,9509,42.04,8.50,4.40
9-February-2023,724.20,726.10,720.85,721.85,722.971785451873622336,13610,1211,9839646.00,7053,51.82,5.25,-2.35
8-February-2023,732.00,732.00,721.15,724.20,723.615628920953575909,25504,1595,18455093.00,10522,41.26,10.85,-7.80
7-February-2023,734.00,734.65,722.00,728.05,728.117721913116462927,73869,4250,53785328.00,23911,32.37,12.65,-5.95
6-February-2023,727.25,732.45,721.25,729.80,726.697075792691947334,40558,2442,29473380.00,21099,52.02,11.20,2.55
3-February-2023,739.40,741.15,720.40,725.75,728.224830060422960725,52960,4214,38566787.00,21590,40.77,20.75,-13.65
2-February-2023,740.80,742.50,733.00,737.05,737.786126519863282344,17847,1822,13167269.00,6855,38.41,9.50,-3.75
1-February-2023,733.25,748.30,731.90,740.50,741.213135231082769048,30422,2405,22549186.00,10817,35.56,16.40,7.25
31-January-2023,735.55,739.00,725.35,729.40,729.427033888950215255,18118,1812,13215759.00,7232,39.92,13.65,-6.15
30-January-2023,735.40,740.35,727.35,735.55,734.958908904237446331,42856,3668,31497399.00,17198,40.13,13.00,0.15
27-January-2023,739.80,745.50,726.00,735.40,733.678500529380624669,30224,1905,22174699.00,7477,24.74,19.50,-4.40
25-January-2023,744.90,744.90,730.95,739.65,734.775336334959963333,37091,6088,27253552.00,25525,68.82,13.95,-5.25
24-January-2023,744.00,749.00,740.00,740.80,742.382148918898974245,27102,1631,20120041.00,17146,63.26,9.00,-3.20
23-January-2023,737.25,743.50,734.00,742.05,739.417843179843614248,18416,2193,13617119.00,8389,45.55,9.50,4.80
20-January-2023,742.20,742.80,736.00,738.00,738.674424329223264036,44687,4317,33009144.00,32064,71.75,6.80,-4.20
19-January-2023,754.85,754.85,737.45,738.80,742.210127311112532787,31262,3400,23202973.00,17650,56.46,17.40,-16.05
18-January-2023,751.00,752.20,747.00,750.45,749.905687119825193409,16933,1875,12698153.00,9371,55.34,5.20,-0.55
17-January-2023,741.05,752.40,741.05,749.80,747.103983488132094943,24225,1356,18098594.00,14945,61.69,11.35,8.75
16-January-2023,751.00,754.70,745.00,746.75,748.568569581471175197,35577,3834,26631824.00,18338,51.54,9.70,-4.25
13-January-2023,754.00,757.65,749.85,752.95,753.245255124465577176,25027,3511,18851469.00,13935,55.68,7.80,-1.05
12-January-2023,762.00,763.70,751.80,754.80,756.085010976692045401,21409,2545,16187024.00,10790,50.40,11.90,-7.20
11-January-2023,775.00,775.00,755.70,759.25,762.976089528692565568,20284,1758,15476207.00,10113,49.86,19.30,-15.75
